Word,Vowel,Token_ID,Duration,FileTime,IntervalTime,NormTime,F1,F2,F3,F4
bed,DRESS,bed_1,0.150160108,5.607599406,0,0,542.2541399,1693.442085,2635.427911,3467.633508
bed,DRESS,bed_1,0.150160108,5.612599406,0.005,0.033297792,537.9184178,1710.449736,2631.268739,3488.535049
bed,DRESS,bed_1,0.150160108,5.617599406,0.01,0.066595583,519.2166978,1725.465029,2625.693864,3509.494044
bed,DRESS,bed_1,0.150160108,5.622599406,0.015,0.099893375,526.4280353,1732.477492,2617.230763,3476.324734
bed,DRESS,bed_1,0.150160108,5.627599406,0.02,0.133191167,555.4873053,1732.742575,2606.332529,3397.518529
bed,DRESS,bed_1,0.150160108,5.632599406,0.025,0.166488959,571.1036463,1733.946233,2603.901464,3406.381391
bed,DRESS,bed_1,0.150160108,5.637599406,0.03,0.19978675,575.3859248,1735.941226,2608.609277,3489.160189
bed,DRESS,bed_1,0.150160108,5.642599406,0.035,0.233084542,573.9232314,1732.222166,2617.252513,3532.816905
bed,DRESS,bed_1,0.150160108,5.647599406,0.04,0.266382334,567.6168118,1723.685448,2629.2138,3543.488837
bed,DRESS,bed_1,0.150160108,5.652599406,0.045,0.299680125,567.1862111,1723.221385,2644.417273,3526.53788
bed,DRESS,bed_1,0.150160108,5.657599406,0.05,0.332977917,571.709657,1729.563573,2662.354313,3486.297389
bed,DRESS,bed_1,0.150160108,5.662599406,0.055,0.366275709,571.0456978,1728.372101,2668.835166,3448.597269
bed,DRESS,bed_1,0.150160108,5.667599406,0.06,0.399573501,566.0081104,1720.828816,2665.657027,3413.038996
bed,DRESS,bed_1,0.150160108,5.672599406,0.065,0.432871292,561.2906568,1724.600416,2663.679111,3390.814347
bed,DRESS,bed_1,0.150160108,5.677599406,0.07,0.466169084,556.8431157,1737.911874,2662.71313,3379.831601
bed,DRESS,bed_1,0.150160108,5.682599406,0.075,0.499466876,554.574462,1744.482134,2668.952135,3435.85311
bed,DRESS,bed_1,0.150160108,5.687599406,0.08,0.532764667,554.1428816,1745.368724,2681.265838,3548.367545
bed,DRESS,bed_1,0.150160108,5.692599406,0.085,0.566062459,551.8188037,1736.28828,2704.791504,3626.083752
bed,DRESS,bed_1,0.150160108,5.697599406,0.09,0.599360251,547.899115,1718.804384,2737.770249,3674.460722
bed,DRESS,bed_1,0.150160108,5.702599406,0.095,0.632658043,539.7540913,1711.187274,2752.894407,3713.924334
bed,DRESS,bed_1,0.150160108,5.707599406,0.1,0.665955834,528.0465844,1711.889094,2752.964925,3745.872875
bed,DRESS,bed_1,0.150160108,5.712599406,0.105,0.699253626,507.6394851,1707.930911,2739.945785,3742.339699
